t, torque1, torque2, torque3, torque4, torque5, torque6, torque7, q1, q2, q3, q4, q5, q6, q7
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.004, 0.0, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
0.008, 0.0113096263955, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.165669925092, -0.0874369049095, 0.42798063982, 0.184077694546, -0.00153398078789, 0.00306796157577, 0.00153398078789
0.012, 0.0226186098541, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16720390588, -0.0813009817579, 0.424912678244, 0.181009732971, -0.00306796157577, 0.00306796157577, -0.00153398078789
0.016, 0.0339263074751, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.165669925092, -0.0859029241216, 0.42798063982, 0.185611675334, 0.0, -0.00306796157577, -0.00153398078789
0.02, 0.0452320764313, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0843689433337, 0.42798063982, 0.187145656122, 0.0, -0.00153398078789, 0.00306796157577
0.024, 0.0565352740049, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0843689433337, 0.426446659032, 0.182543713758, 0.00306796157577, 0.0, 0.00153398078789
0.028, 0.0678352576244, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.164135944304, -0.0843689433337, 0.429514620608, 0.181009732971, -0.00153398078789, -0.00153398078789, 0.00306796157577
0.032, 0.0791313849009, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0874369049095, 0.429514620608, 0.187145656122, 0.00153398078789, 0.0, 0.0
0.036, 0.0904230136649, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.161067982728, -0.0813009817579, 0.429514620608, 0.181009732971, -0.00306796157577, 0.0, 0.0
0.04, 0.101709502002, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.161067982728, -0.0813009817579, 0.429514620608, 0.187145656122, 0.00306796157577, -0.00306796157577, 0.0
0.044, 0.112990208292, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0813009817579, 0.424912678244, 0.184077694546, -0.00306796157577, 0.00306796157577, -0.00306796157577
0.048, 0.12426449124, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.161067982728, -0.0813009817579, 0.426446659032, 0.187145656122, -0.00153398078789, 0.0, -0.00153398078789
0.052, 0.13553170992, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.161067982728, -0.0874369049095, 0.431048601396, 0.184077694546, 0.00153398078789, -0.00306796157577, 0.0
0.056, 0.146791223804, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16720390588, -0.0859029241216, 0.42798063982, 0.184077694546, 0.00306796157577, 0.00153398078789, -0.00153398078789
0.06, 0.158042392806, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0874369049095, 0.431048601396, 0.181009732971, 0.00306796157577, 0.00306796157577, 0.0
0.064, 0.16928457731, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16720390588, -0.0813009817579, 0.426446659032, 0.185611675334, -0.00153398078789, 0.0, -0.00306796157577
0.068, 0.180517138215, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.165669925092, -0.0874369049095, 0.431048601396, 0.185611675334, -0.00306796157577, -0.00153398078789, -0.00306796157577
0.072, 0.191739436963, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.161067982728, -0.0843689433337, 0.429514620608, 0.185611675334, 0.00306796157577, 0.00153398078789, 0.00306796157577
0.076, 0.202950835583, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0828349625458, 0.431048601396, 0.187145656122, -0.00153398078789, 0.00153398078789, -0.00306796157577
0.08, 0.214150696721, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16720390588, -0.0874369049095, 0.429514620608, 0.184077694546, -0.00306796157577, 0.00306796157577, -0.00306796157577
0.084, 0.225338383681, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16720390588, -0.0874369049095, 0.424912678244, 0.184077694546, 0.0, -0.00153398078789, 0.00153398078789
0.088, 0.236513260458, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.161067982728, -0.0874369049095, 0.424912678244, 0.185611675334, 0.0, -0.00306796157577, 0.00306796157577
0.092, 0.247674691774, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.164135944304, -0.0843689433337, 0.429514620608, 0.185611675334, -0.00306796157577, 0.0, 0.00153398078789
0.096, 0.258822043118, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.164135944304, -0.0843689433337, 0.431048601396, 0.182543713758, 0.0, -0.00153398078789, -0.00153398078789
0.1, 0.269954680778, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.161067982728, -0.0828349625458, 0.429514620608, 0.184077694546, 0.0, 0.0, -0.00153398078789
0.104, 0.281071971879, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16720390588, -0.0874369049095, 0.426446659032, 0.182543713758, -0.00306796157577, -0.00306796157577, -0.00306796157577
0.108, 0.292173284416, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0859029241216, 0.429514620608, 0.184077694546, 0.0, -0.00306796157577, -0.00306796157577
0.112, 0.303257987296, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0813009817579, 0.424912678244, 0.181009732971, -0.00153398078789, 0.00306796157577, 0.00306796157577
0.116, 0.314325450368, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.164135944304, -0.0828349625458, 0.426446659032, 0.184077694546, 0.0, -0.00153398078789, 0.0
0.12, 0.325375044463, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16720390588, -0.0874369049095, 0.431048601396, 0.182543713758, -0.00306796157577, 0.00153398078789, -0.00306796157577
0.124, 0.336406141424, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.164135944304, -0.0813009817579, 0.424912678244, 0.182543713758, 0.00306796157577, -0.00153398078789, 0.00153398078789
0.128, 0.34741811415, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0828349625458, 0.429514620608, 0.181009732971, 0.00153398078789, 0.0, 0.00306796157577
0.132, 0.358410336624, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0859029241216, 0.42798063982, 0.181009732971, -0.00153398078789, 0.00153398078789, -0.00153398078789
0.136, 0.369382183954, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16720390588, -0.0843689433337, 0.42798063982, 0.184077694546, -0.00306796157577, 0.00153398078789, -0.00306796157577
0.14, 0.380333032405, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.164135944304, -0.0843689433337, 0.431048601396, 0.185611675334, -0.00153398078789, 0.00306796157577, 0.00153398078789
0.144, 0.391262259435, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16720390588, -0.0828349625458, 0.42798063982, 0.185611675334, 0.00153398078789, 0.00306796157577, -0.00306796157577
0.148, 0.402169243733, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0859029241216, 0.424912678244, 0.181009732971, -0.00153398078789, 0.0, 0.00153398078789
0.152, 0.413053365252, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.161067982728, -0.0874369049095, 0.429514620608, 0.185611675334, 0.00153398078789, -0.00306796157577, -0.00153398078789
0.156, 0.423914005244, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.161067982728, -0.0843689433337, 0.429514620608, 0.185611675334, 0.0, 0.00153398078789, -0.00306796157577
0.16, 0.434750546296, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.162601963516, -0.0859029241216, 0.429514620608, 0.182543713758, 0.00153398078789, 0.0, 0.00153398078789
0.164, 0.445562372366, -0.2, 0.0, 0.0, 0.0, 0.0, 0.0, -0.165669925092, -0.0843689433337, 0.431048601396, 0.185611675334, 0.00153398078789, -0.00153398078789, 0.00306796157577
